Time,Attribute,State,Phase
111519.98000000458,,, START
140025.99999999802,tingling,1,ON_TCATA
150522.38999999827,stinging,1,ON_TCATA
162889.82000000397,tingling,0,ON_TCATA
232856.160000003, increasing sensation,1,ON_TCATA
287996.8000000008,warm,1,ON_TCATA
320279.88500000356,burning,1,ON_TCATA
497655.9350000025,painful,1,ON_TCATA
712740.2799999982,,, S_STOPPED
736545.2950000034,,, START
752814.6600000036,warm,0,OFF_TCATA
753558.3299999998,stinging,0,OFF_TCATA
754451.2099999993,painful,0,OFF_TCATA
755219.0750000009,burning,0,OFF_TCATA
756158.0850000028, increasing sensation,0,OFF_TCATA
780699.9450000003,warm,1,OFF_TCATA
1201972.8749999995,warm,0,OFF_TCATA
1337583.8700000022,,, S_STOPPED
,warm,,DOM_SENSE
